!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      4200.00    3.50    0.00    0.00       -37.744     -38.003     -37.680       0.259      -0.064      -0.323
      4200.00    4.00    0.00    0.00       -37.755     -38.011     -37.686       0.257      -0.068      -0.325
      4200.00    4.50    0.00    0.00       -37.766     -37.997     -37.674       0.231      -0.091      -0.322
      4200.00    5.00    0.00    0.00       -37.771     -37.950     -37.639       0.179      -0.132      -0.311
      4200.00    5.50    0.00    0.00       -37.774     -37.902     -37.605       0.128      -0.169      -0.297
      4300.00    2.50    0.00    0.00       -37.808     -38.015     -37.693       0.207      -0.115      -0.322
      4300.00    3.00    0.00    0.00       -37.818     -38.032     -37.705       0.214      -0.113      -0.327
      4300.00    3.50    0.00    0.00       -37.821     -38.043     -37.712       0.221      -0.109      -0.331
      4300.00    4.00    0.00    0.00       -37.829     -38.053     -37.721       0.225      -0.108      -0.333
      4300.00    4.50    0.00    0.00       -37.837     -38.051     -37.719       0.214      -0.118      -0.332
      4300.00    5.00    0.00    0.00       -37.848     -38.022     -37.697       0.175      -0.150      -0.325
