 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
 188  7.41464513   0.692  -1.40758   3.53541   6.68841   1.22770   0.00000   3.332E-03   0.000E+00   9.967E-01
 189  7.41718419   0.692  -1.40942   3.53540   6.68923   1.23044   0.00000   3.431E-03   0.000E+00   9.966E-01
 190  7.41970850   0.692  -1.41127   3.53539   6.69006   1.23318   0.00000   3.529E-03   0.000E+00   9.965E-01
 191  7.42221822   0.692  -1.41311   3.53538   6.69088   1.23591   0.00000   3.627E-03   0.000E+00   9.964E-01
 192  7.42471352   0.692  -1.41495   3.53537   6.69171   1.23865   0.00000   3.725E-03   0.000E+00   9.963E-01
 193  7.42719456   0.692  -1.41679   3.53537   6.69254   1.24139   0.00000   3.824E-03   0.000E+00   9.962E-01
 194  7.42966151   0.692  -1.41863   3.53536   6.69336   1.24412   0.00000   3.922E-03   0.000E+00   9.961E-01
 195  7.43211453   0.692  -1.42045   3.53535   6.69418   1.24683   0.00000   4.019E-03   0.000E+00   9.960E-01
 196  7.43455377   0.692  -1.42218   3.53534   6.69493   1.24942   0.00000   4.111E-03   0.000E+00   9.959E-01
 197  7.43697938   0.692  -1.42390   3.53533   6.69569   1.25201   0.00000   4.203E-03   0.000E+00   9.958E-01
 198  7.43939152   0.692  -1.42563   3.53532   6.69645   1.25460   0.00000   4.295E-03   0.000E+00   9.957E-01
 199  7.44179034   0.692  -1.42735   3.53531   6.69721   1.25718   0.00000   4.387E-03   0.000E+00   9.956E-01
 200  7.44417599   0.692  -1.42908   3.53530   6.69796   1.25977   0.00000   4.479E-03   0.000E+00   9.955E-01
 201  7.44654859   0.692  -1.43080   3.53529   6.69872   1.26236   0.00000   4.571E-03   0.000E+00   9.954E-01
 202  7.44890831   0.692  -1.43253   3.53528   6.69948   1.26495   0.00000   4.663E-03   0.000E+00   9.953E-01
 203  7.45125528   0.692  -1.43425   3.53527   6.70024   1.26754   0.00000   4.755E-03   0.000E+00   9.952E-01
 204  7.45358963   0.692  -1.43598   3.53527   6.70099   1.27013   0.00000   4.847E-03   0.000E+00   9.952E-01
 205  7.45591150   0.692  -1.43771   3.53526   6.70175   1.27272   0.00000   4.939E-03   0.000E+00   9.951E-01
